id,code,name
edu_inst_150932665,150932665,Divino Jesús (Antes Santo Tomas)
edu_inst_150933218,150933218,Quillabamba
edu_inst_150933788,150933788,Horacio Zeballos Gamez-Quispicanchi
edu_inst_150936856,150936856,Humberto Yauri Martínez
edu_inst_151000694,151000694,Del Santa
edu_inst_151016328,151016328,José Eulogio Garrido Espinoza
edu_inst_151025683,151025683,Huancané
edu_inst_151027754,151027754,Juli
edu_inst_151028554,151028554,Nuñoa
edu_inst_151029123,151029123,José Antonio Encinas-Puno
edu_inst_151059245,151059245,San Juan Bautista
edu_inst_151061498,151061498,Pomacanchi
edu_inst_151065374,151065374,San Josemaría Escriva
edu_inst_151065416,151065416,Emilia Barcia Boniffatti
edu_inst_151078880,151078880,De Uchiza
edu_inst_151093152,151093152,Agustín Bocanegra Y Prada
edu_inst_151096924,151096924,De Picota
edu_inst_151109396,151109396,Tembladera
edu_inst_151113182,151113182,Nuestra Señora De Las Mercedes
edu_inst_151124072,151124072,Monterrico
edu_inst_151141795,151141795,Carlos Medrano Vásquez
edu_inst_151150739,151150739,Cayetano Ardanza
edu_inst_151157916,151157916,Monseñor Francisco González Burga
edu_inst_151160191,151160191,Fray Ángel José Azagra Murillo
edu_inst_151166057,151166057,Huancaspata
edu_inst_151180769,151180769,Manuel Vegas Castillo
edu_inst_151192830,151192830,María Madre
edu_inst_151193259,151193259,Edislao Mera Dávila
edu_inst_151227982,151227982,Pedro Monge Córdova
edu_inst_151273911,151273911,Ayaviri
edu_inst_151275759,151275759,José Antonio Encinas-Tumbes
edu_inst_151396217,151396217,Virgen De La Natividad
edu_inst_151545623,151545623,Alianza Ichuña Bélgica
edu_inst_160000001,160000001,Universidad Nacional Mayor De San Marcos
edu_inst_160000002,160000002,Universidad Nacional De San Cristóbal De Huamanga
edu_inst_160000003,160000003,Universidad Nacional De San Antonio Abad Del Cusco
edu_inst_160000004,160000004,Universidad Nacional De Trujillo
edu_inst_160000005,160000005,Universidad Nacional De San Agustín
edu_inst_160000006,160000006,Universidad Nacional De Ingeniería
edu_inst_160000007,160000007,Universidad Nacional Agraria La Molina
edu_inst_160000009,160000009,Universidad Nacional San Luis Gonzaga
edu_inst_160000010,160000010,Universidad Nacional Del Centro Del Perú
edu_inst_160000011,160000011,Universidad Nacional De La Amazonía Peruana
edu_inst_160000012,160000012,Universidad Nacional Del Altiplano
edu_inst_160000013,160000013,Universidad Nacional De Piura
edu_inst_160000016,160000016,Universidad Nacional De Cajamarca
edu_inst_160000021,160000021,Universidad Nacional Federico Villarreal
edu_inst_160000022,160000022,Universidad Nacional Agraria De La Selva
edu_inst_160000023,160000023,Universidad Nacional Hermilio Valdizán
edu_inst_160000025,160000025,Universidad Nacional De Educación E.G.V.
edu_inst_160000026,160000026,Universidad Nacional Daniel Alcides Carrión
edu_inst_160000027,160000027,Universidad Nacional Del Callao
edu_inst_160000028,160000028,Universidad Nacional José Faustino Sánchez Carrión
edu_inst_160000031,160000031,Universidad Nacional Pedro Ruíz Gallo
edu_inst_160000032,160000032,Universidad Nacional Jorge Basadre Grohmann
edu_inst_160000033,160000033,Universidad Nacional Santiago Antúnez De Mayolo
edu_inst_160000034,160000034,Universidad Nacional De San Martín
edu_inst_160000035,160000035,Universidad Nacional De Ucayali
edu_inst_160000041,160000041,Universidad Nacional De Tumbes
edu_inst_160000042,160000042,Universidad Nacional Del Santa
edu_inst_160000051,160000051,Universidad Nacional De Huancavelica
edu_inst_160000075,160000075,Universidad Nacional Amazónica De Madre De Dios
edu_inst_160000076,160000076,Universidad Nacional Toribio Rodríguez De Mendoza De Amazonas
edu_inst_160000077,160000077,Universidad Nacional Micaela Bastidas De Apurímac
edu_inst_160000084,160000084,Universidad Nacional Intercultural De La Amazonía
edu_inst_160000088,160000088,Universidad Nacional Tecnológica Del Cono Sur De Lima
edu_inst_160000089,160000089,Universidad Nacional José María Arguedas
edu_inst_160000095,160000095,Universidad Nacional De Moquegua
edu_inst_160000098,160000098,Universidad Nacional De Juliaca
edu_inst_160000101,160000101,Universidad Nacional De Jaén
edu_inst_160000106,160000106,Universidad Nacional De Cañete
edu_inst_160000120,160000120,Universidad Nacional Autónoma De Chota
edu_inst_160000121,160000121,Universidad Nacional De Barranca
edu_inst_160000122,160000122,Universidad Nacional De Frontera
edu_inst_160000123,160000123,"Universidad Nacional Intercultural ""Fabiola Salazar Leguía"""
edu_inst_160000124,160000124,Universidad Nacional Intercultural De La Selva Central Juan Santos Atahualpa
edu_inst_160000125,160000125,Universidad Nacional Intercultural De Quillabamba
edu_inst_160000126,160000126,Universidad Nacional Autónoma De Alto Amazonas
edu_inst_160000127,160000127,Universidad Nacional Autónoma Altoandina De Tarma
edu_inst_160000128,160000128,Universidad Nacional Autónoma De Huanta
edu_inst_160000129,160000129,Universidad Nacional Tecnológica De San Juan De Lurigancho
edu_inst_160000130,160000130,Universidad Autónoma Municipal De Los Olivos
edu_inst_160000138,160000138,Universidad Nacional Autonoma De Tayacaja Daniel Hernandez Morillo
edu_inst_160000139,160000139,Universidad Nacional Ciro Alegría
edu_inst_170209858,170209858,Acad. Musica Y Danzas
edu_inst_170240135,170240135,Puno
edu_inst_170276352,170276352,Reg Bellas Artes Ica
edu_inst_170285973,170285973,Leandro Alviña
edu_inst_170326108,170326108,Bellas Artes Del Peru-Lima
edu_inst_170326124,170326124,Conservatorio Nacional De Música
edu_inst_170326132,170326132,Nacional De Ballet
edu_inst_170394098,170394098,Carlos Valderrama
edu_inst_170394106,170394106,Virgilio Rodríguez Nache
edu_inst_170419960,170419960,Escuela Superior De Musica Condorcunca
edu_inst_170419978,170419978,Felipe Guamán Poma De Ayala
edu_inst_170673061,170673061,Daniel Alomía Robles
edu_inst_170679746,170679746,Sérvulo Gutiérrez Alarcón De Ica
edu_inst_170685164,170685164,Victor Morey Peña
edu_inst_170695528,170695528,Carlos Baca Flor
edu_inst_170695536,170695536,Luis Duncker Lavalle
edu_inst_170696005,170696005,Mario Urteaga Alvarado
edu_inst_170699702,170699702,De Formacion Artistica-Huaraz
edu_inst_170702605,170702605,José María Valle Riestra
edu_inst_170702829,170702829,Bellas Artes Macedonio De La Torre
edu_inst_170702837,170702837,Juliaca
edu_inst_170768630,170768630,Escuela Superior De Formacion Artistica-Bagua
edu_inst_170817544,170817544,Eduardo Meza Saravia
edu_inst_170886549,170886549,Francisco Pérez Anampa
edu_inst_170925057,170925057,Formacion Artistica-Tarma
edu_inst_171025584,171025584,Pilcuyo
edu_inst_171027564,171027564,Moho
edu_inst_171061894,171061894,Bellas Artes “Diego Quispe Tito” Calca
edu_inst_171061928,171061928,Bellas Artes Dqt Filial Canchis
edu_inst_171062439,171062439,Bellas Artes “Diego Quispe Tito” Del Cusco
edu_inst_171114693,171114693,José María Arguedas
edu_inst_171114776,171114776,Arte Dramático “Guillermo Ugarte Chamorro”
edu_inst_171125723,171125723,Francisco Laso
edu_inst_171130210,171130210,Ernesto López Mindreau
edu_inst_171148485,171148485,Lorenzo Lujan Darjon
edu_inst_171187368,171187368,Ignacio Merino De Piura
edu_inst_171345198,171345198,Escuela Nacional Superior Autonoma De Bellas Artes Del Peru-Chachapoyas
edu_inst_171637859,171637859,Chabuca Granda
edu_inst_181000001,181000001,"Escuela Militar Del Perú ""Coronel Francisco Bolognesi"""
edu_inst_181000002,181000002,Escuela Naval Del Perú
edu_inst_181000003,181000003,"Escuela De Oficiales De La Fuerza Aérea Del Perú. Capitan Fap ""José Quiñones Gonzales"""
edu_inst_181000004,181000004,Escuela De Oficiales De La Policía Nacional Del Perú
edu_inst_182000001,182000001,Instituto De Educación Superior Tecnologico Naval Citen
edu_inst_182000002,182000002,Instituto Superior Tecnológico Público Del Ejercito
